"Município","Unidade Gestora","Mês","Descrição","Valor Ajustado","Valor Estornado","Tipo","Categoria","Fonte","Subfonte","Alínea","Subalínea","Fonte de Recurso","CO"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","12 - Dezembro","13210101 - Remuneração de Depósitos Bancários - Principal","0.25","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","02 - Fevereiro","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","10245","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","03 - Março","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","400000","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","706 | Transferência Especial da União ","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","03 - Março","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","44548.68","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","04 - Abril","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","34614.18","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","05 - Maio","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","20994.86","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","06 - Junho","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","9212.64","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","07 - Julho","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","52984.65","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","08 - Agosto","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","17453.42","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","09 - Setembro","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","3761.36","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","10 - Outubro","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","21193.35","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","11 - Novembro","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","17385.2","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Assistência Social de Cuitegi","12 - Dezembro","17165001 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Principal","203376.3","0","Lançamento de receita","10000000 - Receitas Correntes","17000000 - Transferências Correntes","17100000 - Transferências da União e de suas Entidades","17160000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS ","17165000 - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","456.08","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","601 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","2439.33","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","244.61","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","1002 | Identificação das despesas com ações e serviços públicos de saúde"
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","487.25","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","601 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","2435.13","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","702.74","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","1002 | Identificação das despesas com ações e serviços públicos de saúde"
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","612.73","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","601 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","3702.22","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","281.33","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","1002 | Identificação das despesas com ações e serviços públicos de saúde"
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","428.54","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","601 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","3329.63","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","155.98","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","1002 | Identificação das despesas com ações e serviços públicos de saúde"
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","539.11","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","601 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","3826.04","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","614.61","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","1002 | Identificação das despesas com ações e serviços públicos de saúde"
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","06 - Junho","13210101 - Remuneração de Depósitos Bancários - Principal","1355.11","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","601 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","06 - Junho","13210101 - Remuneração de Depósitos Bancários - Principal","3649.45","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","06 - Junho","13210101 - Remuneração de Depósitos Bancários - Principal","127.38","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","1002 | Identificação das despesas com ações e serviços públicos de saúde"
"Cuitegi","Fundo Municipal de Saúde de Cuitegi","07 - Julho","13210101 - Remuneração de Depósitos Bancários - Principal","6634.33","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","601 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde","0000 | "
